-4.5 -1 -0.0600196 nan
-4.49 -1 -0.0610239 nan
-4.48 -1 -0.0621051 nan
-4.47 -1 -0.0632669 nan
-4.46 -1 -0.0645133 nan
-4.45 -1 -0.065849 nan
-4.44 -1 -0.067279 nan
-4.43 -1 -0.068809 nan
-4.42 -1 -0.0704454 nan
-4.41 -1 -0.0721952 nan
-4.4 -1 -0.0740662 nan
-4.39 -1 -0.0760671 nan
-4.38 -1 -0.0782076 nan
-4.37 -1 -0.0804986 nan
-4.36 -1 -0.0829521 nan
-4.35 -1 -0.0855819 nan
-4.34 -1 -0.088403 nan
-4.33 -1 -0.0914328 nan
-4.32 -1 -0.0946905 nan
-4.31 -1 -0.0981982 nan
-4.3 -1 -0.101981 nan
-4.29 -1 -0.106067 nan
-4.28 -1 -0.110489 nan
-4.27 -1 -0.115284 nan
-4.26 -1 -0.120497 nan
-4.25 -1 -0.126177 nan
-4.24 -1 -0.132383 nan
-4.23 -1 -0.139184 nan
-4.22 -1 -0.146663 nan
-4.21 -1 -0.154916 nan
-4.2 -1 -0.164061 nan
-4.19 -1 -0.17424 nan
-4.18 -1 -0.185626 nan
-4.17 -1 -0.198434 nan
-4.16 -1 -0.212932 nan
-4.15 -1 -0.22946 nan
-4.14 -1 -0.248455 nan
-4.13 -1 -0.270489 nan
-4.12 -1 -0.296323 nan
-4.11 -1 -0.327 nan
-4.1 -1 -0.363973 nan
-4.09 -1 -0.409348 nan
-4.08 -1 -0.46628 nan
-4.07 -1 -0.539729 nan
-4.06 -1 -0.637961 nan
-4.05 -1 -0.775857 nan
-4.04 -1 -0.983177 nan
-4.03 -1 -1.32937 nan
-4.02 -1 -2.02276 nan
-4.01 -1 -4.10501 nan
-4 -1 -3.93554e+12 nan
-3.99 -1 4.23055 nan
-3.98 -1 2.14836 nan
-3.97 -1 1.45509 nan
-3.96 -1 1.10907 nan
-3.95 -1 0.901967 nan
-3.94 -1 0.764336 nan
-3.93 -1 0.666419 nan
-3.92 -1 0.593334 nan
-3.91 -1 0.536816 nan
-3.9 -1 0.491906 nan
-3.89 -1 0.455449 nan
-3.88 -1 0.425341 nan
-3.87 -1 0.400128 nan
-3.86 -1 0.37877 nan
-3.85 -1 0.360507 nan
