0.001 0.000999 0.000999
0.0338636 0.0327185 0.0327361
0.060209 0.0566388 0.0566909
0.0854421 0.0783573 0.0784449
0.10979 0.0982522 0.0983745
0.13355 0.116698 0.116854
0.156957 0.133969 0.134158
0.180182 0.150253 0.150473
0.203346 0.165679 0.165929
0.226536 0.180334 0.180615
0.249817 0.194283 0.194593
0.273238 0.207572 0.20791
0.29684 0.220234 0.2206
0.320656 0.232298 0.232691
0.344717 0.243786 0.244205
0.369052 0.254714 0.255159
0.39369 0.2651 0.265569
0.41866 0.274955 0.275448
0.44399 0.284291 0.284807
0.469713 0.293117 0.293656
0.495861 0.301441 0.302002
0.522468 0.30927 0.309852
0.549571 0.316608 0.317211
0.577211 0.323459 0.324082
0.605429 0.329825 0.330468
0.634271 0.335707 0.336368
0.663785 0.341104 0.341782
0.694024 0.346012 0.346708
0.725043 0.350429 0.351141
0.756902 0.354348 0.355076
0.789667 0.357763 0.358506
0.823408 0.360664 0.361421
0.858199 0.363041 0.363812
0.894126 0.364883 0.365666
0.931276 0.366174 0.36697
0.96975 0.366901 0.367708
1.00966 0.367045 0.367862
1.05111 0.366588 0.367415
1.09426 0.365509 0.366344
1.13925 0.363784 0.364627
1.18624 0.361389 0.362239
1.23543 0.358295 0.359151
1.28705 0.354473 0.355334
1.34135 0.349888 0.350753
1.39862 0.344504 0.345372
1.45922 0.338279 0.339148
1.52356 0.331167 0.332037
1.59214 0.323116 0.323984
1.66557 0.314065 0.31493
1.74461 0.303945 0.304807
1.83018 0.292677 0.293533
1.9235 0.280166 0.281014
2.02611 0.2663 0.267138
2.14005 0.250949 0.251774
2.26803 0.233967 0.234777
2.41355 0.215217 0.216005
2.58074 0.194649 0.195409
2.77298 0.172525 0.173244
2.98962 0.149739 0.150397
3.22422 0.127703 0.128281
3.46865 0.107592 0.10808
3.71789 0.0898895 0.0902895
3.97077 0.0745607 0.0748841
4.22879 0.0613509 0.0616134
4.49491 0.0499692 0.0501888
4.77298 0.0401598 0.0403562
5.06761 0.0317167 0.031913
5.3843 0.024478 0.0247035
5.72986 0.0183133 0.0186079
6.11307 0.0131082 0.0135327
6.54579 0.00874551 0.00940075
7.04468 0.00507204 0.00614319
7.63429 0.00182449 0.00369182
8 1.79836e-13 0.0026837
